[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.title.__type.padding (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.title.__type.text (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTitleConfig.font.__type.family (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTitleConfig.font.__type.lineHeight (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTitleConfig.font.__type.size (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTitleConfig.font.__type.style (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTitleConfig.font.__type.weight (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTooltipConfig.bodyFont.__type.family (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTooltipConfig.bodyFont.__type.size (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTooltipConfig.bodyFont.__type.style (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTooltipConfig.bodyFont.__type.weight (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTooltipConfig.titleFont.__type.family (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTooltipConfig.titleFont.__type.size (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTooltipConfig.titleFont.__type.style (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartTooltipConfig.titleFont.__type.weight (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.dark.__type.backgroundColors (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.dark.__type.borderColors (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.dark.__type.gridColor (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.dark.__type.textColor (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.dark.__type.tooltipBackgroundColor (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.dark.__type.tooltipTextColor (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.light.__type.backgroundColors (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.light.__type.borderColors (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.light.__type.gridColor (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.light.__type.textColor (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.light.__type.tooltipBackgroundColor (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.DefaultChartThemes.light.__type.tooltipTextColor (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.http.__type.checkInterval (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.http.__type.enabled (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.http.__type.expectedStatusCode (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.http.__type.followRedirects (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.http.__type.method (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.http.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.http.__type.timeout (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.http.__type.type (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.http.__type.url (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.ping.__type.checkInterval (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.ping.__type.enabled (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.ping.__type.host (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.ping.__type.maxPacketLoss (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.ping.__type.packetCount (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.ping.__type.packetSize (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.ping.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.ping.__type.timeout (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.ping.__type.type (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.port.__type.checkInterval (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.port.__type.connectionTimeout (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.port.__type.enabled (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.port.__type.host (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.port.__type.port (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.port.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.port.__type.timeout (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.DefaultFormData.port.__type.type (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
[warning] shared/types/formData.HttpFormData.auth.__type.password (Property), defined in uptime-watcher/shared/types/formData.ts, does not have any documentation
